instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,kerr,target_onset,target_color,target_pos,target_file,target_resp,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,odd_target_pos,even_target_pos,odd_target_resp,odd_target_file,even_target_file,even_target_resp,odd_target_side,even_target_side,participant,date,expName,psychopyVersion,OS,frameRate,train_block_note_resp.keys,train_block_note_resp.rt,blocks_train.thisRepN,blocks_train.thisTrialN,blocks_train.thisN,blocks_train.thisIndex,blocks_train.ran,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_num,too_slow,too_soon,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
space,0,40.6327,left,1,2.6938,0,0.90537364,#a3d0fb,"[""-0.25"",""0""]",left_blue.png,left,0,0,0,2,1,,,left,left_blue.png,down_orange.png,down,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,1.0272,0,0.020567319,#f3af84,"[""0"",""0.25""]",up_orange.png,up,0,1,1,1,1,,,right,right_blue.png,up_orange.png,up,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,1.2274,0,0.480753636,#a3d0fb,"[""-0.25"",""0""]",right_blue.png,right,0,2,2,0,1,,,right,right_blue.png,up_orange.png,up,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.6789,0,0.870269713,#f3af84,"[""0"",""0.25""]",down_orange.png,down,0,3,3,3,1,,,left,left_blue.png,down_orange.png,down,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,1.1668,0,0.117564337,#a3d0fb,"[""0.25"",""0""]",left_blue.png,left,1,0,4,3,1,,,left,left_blue.png,down_orange.png,down,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.3664,0,0.430991861,#f3af84,"[""0"",""-0.25""]",down_orange.png,down,1,1,5,2,1,,,left,left_blue.png,down_orange.png,down,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,0.7997,0,0.026300989,#a3d0fb,"[""-0.25"",""0""]",right_blue.png,right,1,2,6,0,1,,,right,right_blue.png,up_orange.png,up,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.9486,0,0.938731604,#f3af84,"[""0"",""-0.25""]",down_orange.png,down,1,3,7,2,1,,,left,left_blue.png,down_orange.png,down,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,0.8662,0,0.071773923,#a3d0fb,"[""-0.25"",""0""]",right_blue.png,right,2,0,8,0,1,,,right,right_blue.png,up_orange.png,up,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.7612,0,0.785193713,#f3af84,"[""0"",""0.25""]",down_orange.png,down,2,1,9,3,1,,,left,left_blue.png,down_orange.png,down,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,1.2794,0,0.596158712,#a3d0fb,"[""-0.25"",""0""]",left_blue.png,left,2,2,10,2,1,,,left,left_blue.png,down_orange.png,down,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.4179,0,0.365416832,#f3af84,"[""0"",""-0.25""]",down_orange.png,down,2,3,11,2,1,,,left,left_blue.png,down_orange.png,down,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,1.298,0,0.330705659,#a3d0fb,"[""0.25"",""0""]",left_blue.png,left,3,0,12,3,1,,,left,left_blue.png,down_orange.png,down,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,1.5165,0,0.842926505,#f3af84,"[""0"",""0.25""]",up_orange.png,up,3,1,13,1,1,,,right,right_blue.png,up_orange.png,up,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,1.2487,0,0.759070038,#a3d0fb,"[""-0.25"",""0""]",left_blue.png,left,3,2,14,2,1,,,left,left_blue.png,down_orange.png,down,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,0.8212,0,0.118336794,#f3af84,"[""0"",""0.25""]",up_orange.png,up,3,3,15,1,1,,,right,right_blue.png,up_orange.png,up,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,0.8775,0,0.236491845,#a3d0fb,"[""-0.25"",""0""]",left_blue.png,left,4,0,16,2,1,,,left,left_blue.png,down_orange.png,down,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.3673,0,0.461321697,#f3af84,"[""0"",""-0.25""]",down_orange.png,down,4,1,17,2,1,,,left,left_blue.png,down_orange.png,down,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,1.5993,0,0.998337784,#a3d0fb,"[""0.25"",""0""]",left_blue.png,left,4,2,18,3,1,,,left,left_blue.png,down_orange.png,down,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.2818,0,0.497778998,#f3af84,"[""0"",""-0.25""]",down_orange.png,down,4,3,19,2,1,,,left,left_blue.png,down_orange.png,down,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,1.0012,0,0.409331132,#a3d0fb,"[""-0.25"",""0""]",left_blue.png,left,5,0,20,2,1,,,left,left_blue.png,down_orange.png,down,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,1.7145,0,0.810174634,#f3af84,"[""0"",""-0.25""]",up_orange.png,up,5,1,21,0,1,,,right,right_blue.png,up_orange.png,up,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,0.898,0,0.316940462,#a3d0fb,"[""-0.25"",""0""]",left_blue.png,left,5,2,22,2,1,,,left,left_blue.png,down_orange.png,down,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,1.0444,0,0.237942378,#f3af84,"[""0"",""-0.25""]",up_orange.png,up,5,3,23,0,1,,,right,right_blue.png,up_orange.png,up,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,0.7831,0,0.170485821,#a3d0fb,"[""0.25"",""0""]",left_blue.png,left,6,0,24,3,1,,,left,left_blue.png,down_orange.png,down,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,0.7341,0,0.051761791,#f3af84,"[""0"",""0.25""]",up_orange.png,up,6,1,25,1,1,,,right,right_blue.png,up_orange.png,up,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,0.8482,0,0.309823793,#a3d0fb,"[""-0.25"",""0""]",left_blue.png,left,6,2,26,2,1,,,left,left_blue.png,down_orange.png,down,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,0.8695,0,0.162767836,#f3af84,"[""0"",""-0.25""]",up_orange.png,up,6,3,27,0,1,,,right,right_blue.png,up_orange.png,up,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,1.1485,0,0.635438116,#a3d0fb,"[""0.25"",""0""]",right_blue.png,right,7,0,28,1,1,,,right,right_blue.png,up_orange.png,up,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,1.2675,0,0.545841792,#f3af84,"[""0"",""-0.25""]",up_orange.png,up,7,1,29,0,1,,,right,right_blue.png,up_orange.png,up,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,1.1128,0,0.5897762,#a3d0fb,"[""0.25"",""0""]",left_blue.png,left,7,2,30,3,1,,,left,left_blue.png,down_orange.png,down,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.4822,0,0.029520599,#f3af84,"[""0"",""-0.25""]",down_orange.png,down,7,3,31,2,1,,,left,left_blue.png,down_orange.png,down,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,1.6,0,0.999569916,#a3d0fb,"[""-0.25"",""0""]",right_blue.png,right,8,0,32,0,1,,,right,right_blue.png,up_orange.png,up,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,1.5991,0,0.95491579,#f3af84,"[""0"",""0.25""]",up_orange.png,up,8,1,33,1,1,,,right,right_blue.png,up_orange.png,up,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,0.6455,0,0.023158491,#a3d0fb,"[""-0.25"",""0""]",right_blue.png,right,8,2,34,0,1,,,right,right_blue.png,up_orange.png,up,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.6524,0,0.938599712,#f3af84,"[""0"",""0.25""]",down_orange.png,down,8,3,35,3,1,,,left,left_blue.png,down_orange.png,down,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,1.3469,0,0.863837392,#a3d0fb,"[""0.25"",""0""]",right_blue.png,right,9,0,36,1,1,,,right,right_blue.png,up_orange.png,up,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,1.2991,0,0.733020648,#f3af84,"[""0"",""0.25""]",up_orange.png,up,9,1,37,1,1,,,right,right_blue.png,up_orange.png,up,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,0.8465,0,0.352108019,#a3d0fb,"[""0.25"",""0""]",right_blue.png,right,9,2,38,1,1,,,right,right_blue.png,up_orange.png,up,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,1.4768,0,0.835704443,#f3af84,"[""0"",""0.25""]",up_orange.png,up,9,3,39,1,1,,,right,right_blue.png,up_orange.png,up,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,1.1951,0,0.687315825,#a3d0fb,"[""-0.25"",""0""]",left_blue.png,left,10,0,40,2,1,,,left,left_blue.png,down_orange.png,down,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.7503,0,0.997601438,#f3af84,"[""0"",""0.25""]",down_orange.png,down,10,1,41,3,1,,,left,left_blue.png,down_orange.png,down,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,1.5841,0,0.794169577,#a3d0fb,"[""-0.25"",""0""]",left_blue.png,left,10,2,42,2,1,,,left,left_blue.png,down_orange.png,down,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,0.9459,0,0.23690906,#f3af84,"[""0"",""-0.25""]",up_orange.png,up,10,3,43,0,1,,,right,right_blue.png,up_orange.png,up,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,1.4144,0,0.90891278,#a3d0fb,"[""-0.25"",""0""]",right_blue.png,right,11,0,44,0,1,,,right,right_blue.png,up_orange.png,up,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,0.9814,0,0.306056553,#f3af84,"[""0"",""0.25""]",up_orange.png,up,11,1,45,1,1,,,right,right_blue.png,up_orange.png,up,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,0.6973,0,0.154247549,#a3d0fb,"[""0.25"",""0""]",left_blue.png,left,11,2,46,3,1,,,left,left_blue.png,down_orange.png,down,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,0.8928,0,0.228729293,#f3af84,"[""0"",""-0.25""]",up_orange.png,up,11,3,47,0,1,,,right,right_blue.png,up_orange.png,up,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,1.3844,0,0.879320251,#a3d0fb,"[""0.25"",""0""]",right_blue.png,right,12,0,48,1,1,,,right,right_blue.png,up_orange.png,up,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,1.1659,0,0.649616812,#f3af84,"[""0"",""0.25""]",up_orange.png,up,12,1,49,1,1,,,right,right_blue.png,up_orange.png,up,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,0.5638,0,0.073751363,#a3d0fb,"[""0.25"",""0""]",right_blue.png,right,12,2,50,1,1,,,right,right_blue.png,up_orange.png,up,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.5151,0,0.779674899,#f3af84,"[""0"",""0.25""]",down_orange.png,down,12,3,51,3,1,,,left,left_blue.png,down_orange.png,down,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,1.1147,0,0.532840646,#a3d0fb,"[""0.25"",""0""]",left_blue.png,left,13,0,52,3,1,,,left,left_blue.png,down_orange.png,down,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,1.2484,0,0.70410447,#f3af84,"[""0"",""0.25""]",up_orange.png,up,13,1,53,1,1,,,right,right_blue.png,up_orange.png,up,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,0.7463,0,0.104611305,#a3d0fb,"[""-0.25"",""0""]",right_blue.png,right,13,2,54,0,1,,,right,right_blue.png,up_orange.png,up,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,1.4511,0,0.699236557,#f3af84,"[""0"",""-0.25""]",up_orange.png,up,13,3,55,0,1,,,right,right_blue.png,up_orange.png,up,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,1.4977,0,0.956539738,#a3d0fb,"[""0.25"",""0""]",left_blue.png,left,14,0,56,3,1,,,left,left_blue.png,down_orange.png,down,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.2211,0,0.18149844,#f3af84,"[""0"",""0.25""]",down_orange.png,down,14,1,57,3,1,,,left,left_blue.png,down_orange.png,down,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,1.6921,0,0.846093913,#a3d0fb,"[""-0.25"",""0""]",right_blue.png,right,14,2,58,0,1,,,right,right_blue.png,up_orange.png,up,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.6311,0,0.991397166,#f3af84,"[""0"",""0.25""]",down_orange.png,down,14,3,59,3,1,,,left,left_blue.png,down_orange.png,down,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,space,72.3981,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,0.8152,0,0.161334487,#a3d0fb,"[""0.25"",""0""]",right_blue.png,right,0,0,0,1,1,,,right,right_blue.png,up_orange.png,up,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.1632,0,0.463761123,#f3af84,"[""0"",""-0.25""]",down_orange.png,down,0,1,1,2,1,,,left,left_blue.png,down_orange.png,down,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,1.5481,0,0.831148839,#a3d0fb,"[""0.25"",""0""]",right_blue.png,right,0,2,2,1,1,,,right,right_blue.png,up_orange.png,up,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.7144,0,0.871861426,#f3af84,"[""0"",""-0.25""]",down_orange.png,down,0,3,3,2,1,,,left,left_blue.png,down_orange.png,down,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,1.1329,0,0.708426094,#a3d0fb,"[""0.25"",""0""]",right_blue.png,right,1,0,4,1,1,,,right,right_blue.png,up_orange.png,up,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,1.5038,0,0.89186307,#f3af84,"[""0"",""0.25""]",up_orange.png,up,1,1,5,1,1,,,right,right_blue.png,up_orange.png,up,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,1.1988,0,0.028029319,#a3d0fb,"[""-0.25"",""0""]",left_blue.png,left,1,2,6,2,1,,,left,left_blue.png,down_orange.png,down,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.5087,0,0.865794186,#f3af84,"[""0"",""-0.25""]",down_orange.png,down,1,3,7,2,1,,,left,left_blue.png,down_orange.png,down,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,1.5119,0,0.914190417,#a3d0fb,"[""0.25"",""0""]",left_blue.png,left,2,0,8,3,1,,,left,left_blue.png,down_orange.png,down,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,1.0007,0,0.184984429,#f3af84,"[""0"",""0.25""]",up_orange.png,up,2,1,9,1,1,,,right,right_blue.png,up_orange.png,up,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,1.5979,0,0.9843276,#a3d0fb,"[""-0.25"",""0""]",right_blue.png,right,2,2,10,0,1,,,right,right_blue.png,up_orange.png,up,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,1.2613,0,0.556258545,#f3af84,"[""0"",""-0.25""]",up_orange.png,up,2,3,11,0,1,,,right,right_blue.png,up_orange.png,up,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,0.7304,0,0.077506673,#a3d0fb,"[""0.25"",""0""]",left_blue.png,left,3,0,12,3,1,,,left,left_blue.png,down_orange.png,down,right,up,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,0.927,0,0.183248151,#f3af84,"[""0"",""-0.25""]",down_orange.png,down,3,1,13,2,1,,,left,left_blue.png,down_orange.png,down,left,down,60885d559ca52f07dd234260,2021-09-11_16h51.53.683,arrow_simon_vert,2021.1.2,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
